nmc_nmcpin,nmc_nmctitlename,nmc_firstname,nmc_maidenname,nmc_lastname,nmc_dateofbirth,nmc_gender,nmc_nationalityname,nmc_countryofbirthname,nmc_email,nmc_addressline1,nmc_addressline2,nmc_addressline3,nmc_city,nmc_postcode,nmc_countryname,nmc_traininginstitutecode,nmc_trainingtype,nmc_programme,nmc_academicroute,nmc_coursestartdate,nmc_courseenddate,nmc_trainingexampassdate,nmc_trainingstartdate,nmc_trainingcompletiondate
16H0418E,Miss,ROSE 15,,LEE,20050503,F,British,England,2211471@uknmc.org,London Road 15,GREAT SUTTON,ELLESMERE PORT,Woodford,CM162XL,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0419E,Miss,ROSE 16,,LEE,20000517,F,British,England,2211471@uknmc.org,London Road 16,WREXHAM,,Woodford,CM164YU,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0420E,Miss,ROSE 17,,LEE,19971112,F,British,England,2211471@uknmc.org,London Road 17,WIDNES,CHESHIRE,Woodford,CM166RB,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0421E,Miss,ROSE 18,,LEE,20040616,F,British,England,2211471@uknmc.org,London Road 18,FEATHERSTONE,PONTEFRACT,WEST YORKSHIRE,CM166LG,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0422E,Miss,ROSE 19,,LEE,20040831,F,British,England,2211471@uknmc.org,London Road 19,SHREWSBURY,SHROPSHIRE,Woodford,CM164NQ,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0423E,Miss,ROSE 20,,LEE,20050629,F,British,England,2211471@uknmc.org,London Road 20,BISPHAM,BLACKPOOL,LANCASHIRE,CM169PB,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0424E,Miss,ROSE 21,,LEE,20040505,F,British,England,2211471@uknmc.org,London Road 21,PRENTON,MERSEYSIDE,Woodford,CM160UZ,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0425E,Miss,ROSE 22,,LEE,20041230,F,British,England,2211471@uknmc.org,London Road 22,MANCHESTER,GREATER MANCHESTER,Woodford,CM169QG,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0426E,Miss,ROSE 23,,LEE,20030521,F,British,England,2211471@uknmc.org,London Road 23,WIRRAL,MERSEYSIDE,Woodford,CM162PR,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0427E,Miss,ROSE 24,,LEE,20050109,F,British,England,2211471@uknmc.org,London Road 24,NELSON,LANCASHIRE,Woodford,CM169PA,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0428E,Miss,ROSE 25,TEMI,LEE,20040207,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 25,HEYWOOD,MANCHESTER,Woodford,CM163NP,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0429E,Miss,ROSE 26,,LEE,20050311,F,British,England,2211471@uknmc.org,London Road 26,SHAVINGTON,CREWE,CHESHIRE,CM165EF,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0430E,Miss,ROSE 27,,LEE,20010825,F,British,England,2211471@uknmc.org,London Road 27,BUNTINGSDALE,MARKET DRAYTON,Woodford,CM162ES,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0431E,Miss,ROSE 28,,LEE,20040130,F,Cameroonian,Cameroon,2211471@uknmc.org,London Road 28,APARTEMENT 4,49 HURST STREET,LIVERPOOL,CM168AJ,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0432E,Miss,ROSE 29,,LEE,20041125,F,British,England,2211471@uknmc.org,London Road 29,WIRRAL,MERSEYSIDE,Woodford,CM164LF,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0433E,Miss,ROSE 30,,LEE,19910203,F,British,England,2211471@uknmc.org,London Road 30,WIRRAL,MERSEYSIDE,Woodford,CM162QJ,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H1488E,Mr,ROSE 31,,LEE,20001219,M,British,Country Unknown,2211471@uknmc.org,London Road 31,MAIDSTONE,,Woodford,CM165TA,England,8020,R,MN1,BSc (Hons),20200901,20290901,20260720,20220926,20260720
15H1514E,Ms,ROSE 32,,LEE,19750712,F,British,Poland,2211471@uknmc.org,London Road 32,GILLINGHAM,KENT,Woodford,CM161EJ,England,8020,R,MN1,BSc (Hons),20200901,20290901,20260720,20220919,20260720
15H1513E,Miss,ROSE 33,,LEE,20010218,F,Irish,Country Unknown,2211471@uknmc.org,London Road 33,MAIDSTONE,Kent,Woodford,CM167QD,England,8020,R,AN1,BSc (Hons),20200901,20290901,20260720,20210920,20260720
15H0617E,Miss,ROSE 34,,LEE,20031220,F,British,England,2211471@uknmc.org,London Road 34,ASHTON-IN-MAKERFIELD,WIGAN,LANCASHIRE,CM160RW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0618E,Mrs,ROSE 35,OLANIREGUN BOLANLE ADIJAT,LEE,19950524,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 35,MORETON,WIRRAL,MERSEYSIDE,CM162QS,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0619E,Miss,ROSE 36,,LEE,19981124,F,Somali,Somali Republic,2211471@uknmc.org,London Road 36,LIVERPOOL,MERSEYSIDE,Woodford,CM160RW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0620E,Miss,ROSE 37,,LEE,19930408,F,British,Nigeria,2211471@uknmc.org,London Road 37,LIVERPOOL,MERSEYSIDE,Woodford,CM161XD,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0621E,Miss,ROSE 38,,LEE,19960710,F,British,England,2211471@uknmc.org,London Road 38,NEWTON-LE-WILLOWS,MERSEYSIDE,Woodford,CM168HP,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0622E,Miss,ROSE 39,,LEE,20020121,F,British,England,2211471@uknmc.org,London Road 39,RUNCORN,CHESHIRE,Woodford,CM161XE,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0623E,Mrs,ROSE 40,MARSHALL,LEE,19880515,F,British,England,2211471@uknmc.org,London Road 40,STRANG ROAD,UNION MILLS,Woodford,CM164NW,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0624E,Mrs,ROSE 41,,LEE,19750810,F,British,Democratic Republic of Congo (Zaire),2211471@uknmc.org,London Road 41,MANCHESTER,GREATER MANCHESTER,Woodford,CM165NZ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0625E,Miss,ROSE 42,,LEE,20050726,F,British,Isle of Man,2211471@uknmc.org,London Road 42,LAKESIDE GARDENS,ONCHAN,ISLE OF MAN,CM162DA,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0626E,Miss,ROSE 43,,LEE,20050320,F,British,England,2211471@uknmc.org,London Road 43,WILMSLOW,CHESHIRE,Woodford,CM162TH,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0627E,Miss,ROSE 44,,LEE,20050412,F,British,England,2211471@uknmc.org,London Road 44,WIDNES,CHESHIRE,Woodford,CM163YF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0628E,Miss,ROSE 45,,LEE,20041204,F,Indian,United Arab Emirates,2211471@uknmc.org,London Road 45,BRADLEY FOLD,BOLTON,Woodford,CM166RU,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0609E,Miss,ROSE 46,,LEE,20030215,F,British,England,2211471@uknmc.org,London Road 46,NEWTON-LE-WILLOWS,MERSEYSIDE,Woodford,CM169NW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0629E,Miss,ROSE 47,,LEE,19990406,F,British,Isle of Man,2211471@uknmc.org,London Road 47,SMEALE,RAMSEY,RAMSEY,CM163EE,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0630E,Miss,ROSE 48,,LEE,20001219,F,British,England,2211471@uknmc.org,London Road 48,BEBINGTON,WIRRAL,MERSEYSIDE,CM167QX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0631E,Miss,ROSE 49,,LEE,19920529,F,British,Wales,2211471@uknmc.org,London Road 49,RHYL,CLWYD,Woodford,CM164AG,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0632E,Miss,ROSE 50,,LEE,20030925,F,British,England,2211471@uknmc.org,London Road 50,SOUTH PIER ROAD,ELLESMERE PORT,Woodford,CM164FL,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0633E,Miss,ROSE 51,,LEE,19971116,F,British,England,2211471@uknmc.org,London Road 51,WIRRAL,MERSEYSIDE,Woodford,CM164RY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0634E,Miss,ROSE 52,AMY KELLY AND AMY WOOD,LEE,19830521,F,British,England,2211471@uknmc.org,London Road 52,WIRRAL,MERSEYSIDE,Woodford,CM169PB,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0635E,Miss,ROSE 53,,LEE,20050830,F,British,Wales,2211471@uknmc.org,London Road 53,CONNAH'S QUAY,DEESIDE,FLINTSHIRE,CM164FF,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0636E,Miss,ROSE 54,,LEE,20001222,F,British,England,2211471@uknmc.org,London Road 54,MURDISHAW,RUNCORN,CHESHIRE,CM166HQ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0610E,Miss,ROSE 55,CRYSTAN,LEE,20040113,F,British,England,2211471@uknmc.org,London Road 55,WOLVERHAMPTON,,Woodford,CM160JW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0611E,Miss,ROSE 56,,LEE,20040413,F,British,Isle of Man,2211471@uknmc.org,London Road 56,GLEN VINE,ISLE OF MAN,Woodford,CM164EY,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0637E,Mrs,ROSE 57,WALKER BARNARD,LEE,19851107,F,British,Scotland,2211471@uknmc.org,London Road 57,PLEAN,STIRLING,Woodford,CM168BY,Scotland,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0638E,Miss,ROSE 58,,LEE,20030218,F,British,England,2211471@uknmc.org,London Road 58,HAYDOCK,ST. HELENS,MERSEYSIDE,CM160NF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0639E,Miss,ROSE 59,,LEE,20030508,F,Portuguese,Portugal,2211471@uknmc.org,London Road 59,ALTRINCHAM,CHESHIRE,Woodford,CM169QZ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0640E,Miss,ROSE 60,,LEE,20050730,F,British,England,2211471@uknmc.org,London Road 60,PRENTON,WIRRAL,MERSEYSIDE,CM168LX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
15H0641E,Mr,ROSE 61,,LEE,19941109,M,British,Isle of Man,2211471@uknmc.org,London Road 61,BALLACUBBON,COLBY,ISLE OF MAN,CM164PR,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0642E,Mrs,ROSE 62,ROWLAND,LEE,19941206,F,British,England,2211471@uknmc.org,London Road 62,ELLESMERE PORT,,Woodford,CM163TG,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0643E,Miss,ROSE 63,,LEE,19880903,F,British,England,2211471@uknmc.org,London Road 63,APPLETON,WARRINGTON,CHESHIRE,CM165RN,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0644E,Mrs,ROSE 64,SHARROCK,LEE,19860418,F,British,England,2211471@uknmc.org,London Road 64,WINSFORD,CHESHIRE,Woodford,CM163AY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0645E,Miss,ROSE 65,,LEE,19940922,F,British,England,2211471@uknmc.org,London Road 65,ELLESMER PORT,CHESHIRE,Woodford,CM168HW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0646E,Miss,ROSE 66,,LEE,20030913,F,British,England,2211471@uknmc.org,London Road 66,COVENTRY,WEST MIDLANDS,Woodford,CM162BP,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0647E,Mrs,ROSE 67,ASTBURY,LEE,19880127,F,British,England,2211471@uknmc.org,London Road 67,WINSFORD,CHESHIRE,Woodford,CM162HD,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0648E,Mrs,ROSE 68,BROWN,LEE,19800521,F,British,England,2211471@uknmc.org,London Road 68,KNUTSFORD,CHESHIRE,Woodford,CM166AR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0649E,Mr,ROSE 69,,LEE,20030204,M,British,England,2211471@uknmc.org,London Road 69,GREAT SUTTON,ELLESMERE PORT,CHESHIRE,CM164RD,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0650E,Miss,ROSE 70,,LEE,20020318,F,British,England,2211471@uknmc.org,London Road 70,WIRRAL,MERSEYSIDE,Woodford,CM164RD,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0651E,Mrs,ROSE 71,WILSON,LEE,19961009,F,British,England,2211471@uknmc.org,London Road 71,CREWE,,Woodford,CM164GR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0652E,Mr,ROSE 72,,LEE,20030308,M,British,England,2211471@uknmc.org,London Road 72,SOUTH PIER ROAD,,ELLESMERE PORT,CM164FL,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0653E,Miss,ROSE 73,,LEE,19900523,F,British,England,2211471@uknmc.org,London Road 73,BIRKENHEAD,MERSEYSIDE,Woodford,CM164LG,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0654E,Miss,ROSE 74,,LEE,20050602,F,British,England,2211471@uknmc.org,London Road 74,MURDISHAW,RUNCORN,CHESHIRE,CM166DZ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0655E,Mr,ROSE 75,,LEE,19981025,M,British,Wales,2211471@uknmc.org,London Road 75,MYNYDD ISA,MOLD,CLWYD,CM166XR,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0656E,Miss,ROSE 76,,LEE,19971121,F,British,England,2211471@uknmc.org,London Road 76,BIRKENHEAD,MERSEYSIDE,Woodford,CM169LX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0657E,Mrs,ROSE 77,MISS TOWEY,LEE,19790805,F,British,England,2211471@uknmc.org,London Road 77,GRAPPENHALL,WARRINGTON,CHESHIRE,CM162ND,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0658E,Miss,ROSE 78,,LEE,20001112,F,British,England,2211471@uknmc.org,London Road 78,ALDERLEY EDGE,CHESHIRE,Woodford,CM167SQ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0659E,Miss,ROSE 79,,LEE,20001126,F,British,England,2211471@uknmc.org,London Road 79,OSWESTRY,SHROPSHIRE,Woodford,CM162TB,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0660E,Miss,ROSE 80,,LEE,20010913,F,British,England,2211471@uknmc.org,London Road 80,ST. HELENS,MERSEYSIDE,Woodford,CM165UF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0661E,Miss,ROSE 81,HARRISON,LEE,19980109,F,British,England,2211471@uknmc.org,London Road 81,WIRRAL,MERSEYSIDE,Woodford,CM164RG,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0662E,Miss,ROSE 82,,LEE,20010603,F,British,England,2211471@uknmc.org,London Road 82,CONNAH'S QUAY,DEESIDE,FLINTSHIRE,CM164BJ,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
15H0663E,Miss,ROSE 83,,LEE,19990219,F,British,Northern Ireland,2211471@uknmc.org,London Road 83,CHESTER,129 WHIPCORD LANE,129 WHIPCORD LANE,CM164DG,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0664E,Mrs,ROSE 84,DREWERY,LEE,19911101,F,British,England,2211471@uknmc.org,London Road 84,ELLESMERE PORT,CHESHIRE,Woodford,CM169AR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0665E,Miss,ROSE 85,,LEE,20030704,F,British,England,2211471@uknmc.org,London Road 85,SKELTON-IN-CLEVELAND,SALTBURN-BY-THE-SEA,NORTH YORKSHIRE,CM162WH,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0666E,Miss,ROSE 86,,LEE,20040114,F,British,England,2211471@uknmc.org,London Road 86,SHEPSHED,LOUGHBOROUGH,LEICESTERSHIRE,CM169UB,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0667E,Miss,ROSE 87,,LEE,20050717,F,British,England,2211471@uknmc.org,London Road 87,BRIDLINGTON,EAST RIDING OF YORKSHIRE,Woodford,CM164NR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0668E,Miss,ROSE 88,,LEE,19781010,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 88,BIRKENHEAD,MERSEYSIDE,Woodford,CM167HZ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0669E,Miss,ROSE 89,,LEE,19810414,F,British,England,2211471@uknmc.org,London Road 89,WOODSIDE,TELFORD,SHROPSHIRE,CM165UB,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230911,20260812
16H0348E,Miss,ROSE 90,,LEE,19821204,F,British,England,2211471@uknmc.org,London Road 90,BIRKENHEAD,MERSEYSIDE,Woodford,CM169DY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0349E,Miss,ROSE 91,,LEE,20020628,F,British,England,2211471@uknmc.org,London Road 91,BLACON,CHESTER,CHESHIRE,CM165SR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0350E,Miss,ROSE 92,,LEE,20021102,F,British,England,2211471@uknmc.org,London Road 92,BICTON HEATH,SHREWSBURY,SHROPSHIRE,CM165DX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0351E,Miss,ROSE 93,,LEE,20050515,F,British,England,2211471@uknmc.org,London Road 93,WIDNES,CHESHIRE,Woodford,CM168SH,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0352E,Miss,ROSE 94,,LEE,19960511,F,British,England,2211471@uknmc.org,London Road 94,ELLESMERE PORT,CHESHIRE,Woodford,CM165EG,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0355E,Miss,ROSE 95,,LEE,20041230,F,British,Wales,2211471@uknmc.org,London Road 95,OLD COLWYN,COLWYN BAY,CONWY,CM169BP,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0353E,Miss,ROSE 96,,LEE,20000107,F,British,Wales,2211471@uknmc.org,London Road 96,HAWARDEN,DEESIDE,FLINTSHIRE,CM163DP,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0354E,Miss,ROSE 97,,LEE,20031001,F,British,England,2211471@uknmc.org,London Road 97,CHIRBURY ROAD,MONTGOMERY,POWYS,CM166QQ,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0612E,Mrs,ROSE 98,,LEE,19990223,F,Polish,Poland,2211471@uknmc.org,London Road 98,HOOLE,CHESTER,CHESHIRE,CM163AH,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0356E,Miss,ROSE 99,,LEE,20041119,F,British,England,2211471@uknmc.org,London Road 99,BOOTLE,MERSEYSIDE,LIVERPOOL,CM164EJ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0357E,Miss,ROSE 100,,LEE,19830512,F,British,England,2211471@uknmc.org,London Road 100,BIRKENHEAD,MERSEYSIDE,Woodford,CM167JH,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0358E,Miss,ROSE 101,,LEE,20010803,F,British,Isle of Man,2211471@uknmc.org,London Road 101,FOXDALE,,ISLE OF MAN,CM163ED,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0359E,Miss,ROSE 102,,LEE,19981024,F,British,England,2211471@uknmc.org,London Road 102,LYCHETT MATRAVERS,DORSET,Woodford,CM166LY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0613E,Miss,ROSE 103,,LEE,20040116,F,British,England,2211471@uknmc.org,London Road 103,POOLE,DORSET,Woodford,CM163LE,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0360E,Mrs,ROSE 104,COLEMAN,LEE,19891030,F,British,England,2211471@uknmc.org,London Road 104,WIRRAL,MERSEYSIDE,CH46 8TT,CM168TT,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0361E,Miss,ROSE 105,,LEE,19930620,F,British,England,2211471@uknmc.org,London Road 105,WARRINGTON,CHESHIRE,Woodford,CM161UR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0362E,Mrs,ROSE 106,AUSTIN,LEE,19890301,F,British,Wales,2211471@uknmc.org,London Road 106,SHOTTON,DEESIDE,FLINTSHIRE,CM161XY,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0363E,Mrs,ROSE 107,HILL,LEE,19800906,F,British,England,2211471@uknmc.org,London Road 107,SAUGHALL,CHESTER,CHESHIRE,CM166BH,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0364E,Ms,ROSE 108,,LEE,19850617,F,British,Nigeria,2211471@uknmc.org,London Road 108,CREWE,CHESHIRE,Woodford,CM167JA,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0365E,Mrs,ROSE 109,LEWANDOWSKA,LEE,19871215,F,Polish,Poland,2211471@uknmc.org,London Road 109,WIDNES,CHESHIRE,Woodford,CM163AB,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0366E,Miss,ROSE 110,,LEE,19920808,F,British,England,2211471@uknmc.org,London Road 110,LITTLE SUTTON,ELLESMERE PORT,CHESHIRE,CM161HF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
