nmc_pin,nmc_lastname,nmc_firstname,nmc_regexpirydate,nmc_addedby,nmc_createdon,nmc_institutecode,nmc_institutename,nmc_aeiprogrammetitle,nmc_trainingtypecode,nmc_programmecode,nmc_academiclevel,mc_qualificationroute,nmc_registerpart1,nmc_registerpart2,nmc_registerpart3,nmc_practicetype1,nmc_practicetype2,nmc_practicetype3,nmc_active,nmc_course1trainingtypecode,nmc_course1programmecode,nmc_course1academiclevel,mc_course1qualificationroute,nmc_course2trainingtypecode,nmc_course2programmecode,nmc_course2academiclevel,mc_course2qualificationroute,nmc_course3trainingtypecode,nmc_course3programmecode,nmc_course3academiclevel,mc_course3qualificationroute,nmc_course4trainingtypecode,nmc_course4programmecode,nmc_course4academiclevel,mc_course4qualificationroute,nmc_course5trainingtypecode,nmc_course5programmecode,nmc_course5academiclevel,mc_course5qualificationroute
26H0411Z,Young,Mary 11,26/09/2027,test Application21,11/09/2024,1315,University of Chester,MN - Adult Mental Health,F,SC1,B Nurs (Hons),A,Nursing,,Nursing,Nursing,,,Yes,F,SC1,B Nurs (Hons),A,,,,,,,,,,,,,,,,
26H0412Z,Young,Mary 12,27/09/2027,Rick Flair,11/09/2024,1315,University of Chester,SCPHN - Specialist Community Public Health Nursing,S,DF3,PG Dip,A,SCPHN,Nursing,Nursing,SCPHN,,,Yes,S,DF3,PG Dip,A,,,,,,,,,,,,,,,,
26H0413Z,Young,Mary 13,28/09/2027,Rick Flair,09/09/2024,1315,University of Chester,AN - Adult Nursing,R,AN1,B Nurs (Hons),F,Nursing,Nursing,Nursing,Nursing,,,Yes,R,AN1,B Nurs (Hons),F,,,,,,,,,,,,,,,,
26H0414Z,Young,Mary 14,29/09/2027,Rick Flair,27/08/2024,1315,University of Chester,MW - Midwifery,M,MW1,Level 6,F,Midwifery,,Midwifery,Midwifery,,,Yes,M,MW1,Level 6,F,,,,,,,,,,,,,,,,
26H0415Z,Young,Mary 15,30/09/2027,Rick Flair,23/07/2024,1315,University of Chester,MN - Adult Mental Health,F,SC1,B Nurs (Hons),A,Nursing,,Nursing,Nursing,,,Yes,F,SC1,B Nurs (Hons),A,,,,,,,,,,,,,,,,
26H0416Z,Young,Mary 16,01/10/2027,Sai NMC AEI Admin,12/07/2024,1315,University of Chester,SCPHN - Specialist Community Public Health Nursing,S,DF3,PG Dip,A,SCPHN,Nursing,Nursing,SCPHN,,,Yes,S,DF3,PG Dip,A,,,,,,,,,,,,,,,,
26H0417Z,Young,Mary 17,02/10/2027,Sai NMC AEI Admin,11/09/2024,1315,University of Chester,AN - Adult Nursing,R,AN1,B Nurs (Hons),F,Nursing,Nursing,Nursing,Nursing,,,No,R,AN1,B Nurs (Hons),F,,,,,,,,,,,,,,,,
26H0418Z,Young,Mary 18,03/10/2027,Harry Harrison DC,11/09/2024,1315,University of Chester,MW - Midwifery,M,MW1,Level 6,F,Midwifery,,Midwifery,Midwifery,,,No,M,MW1,Level 6,F,,,,,,,,,,,,,,,,
26H0419Z,Young,Mary 19,04/10/2027,Rick Flair,09/09/2024,1315,University of Chester,SC1 - Child Nursing,R,SC1,B Nurs (Hons),A,Nursing,,Nursing,Nursing,,,No,R,SC1,B Nurs (Hons),A,,,,,,,,,,,,,,,,
26H0420Z,Young,Mary 20,05/10/2027,Rick Flair,27/08/2024,1315,University of Chester,SCPHN - Specialist Community Public Health Nursing,S,DF3,PG Dip,A,SCPHN,Nursing,Nursing,SCPHN,,,No,S,DF3,PG Dip,A,,,,,,,,,,,,,,,,
26H0421Z,Young,Mary 21,06/10/2027,open application,23/07/2024,1315,University of Chester,AN - Adult Nursing,R,AN1,B Nurs (Hons),F,Nursing,Nursing,Nursing,Nursing,,,No,R,AN1,B Nurs (Hons),F,,,,,,,,,,,,,,,,
26H0422Z,Young,Mary 22,07/10/2027,Sai NMC AEI Admin,12/07/2024,1315,University of Chester,MW - Midwifery,M,MW1,Level 6,F,Midwifery,,Midwifery,Midwifery,,,No,M,MW1,Level 6,F,,,,,,,,,,,,,,,,
26H0423Z,Young,Mary 23,08/10/2027,Harry Harrison DC,23/07/2024,1315,University of Chester,SC1 - Child Nursing,R,SC1,B Nurs (Hons),A,Nursing,,Nursing,Nursing,,,No,R,SC1,B Nurs (Hons),A,,,,,,,,,,,,,,,,
26H0424Z,Young,Mary 24,09/10/2027,Rick Flair,12/07/2024,1315,University of Chester,SCPHN - Specialist Community Public Health Nursing,S,DF3,PG Dip,A,SCPHN,Nursing,Nursing,SCPHN,,,No,S,DF3,PG Dip,A,,,,,,,,,,,,,,,,
